S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,718971,10728,729699,54.87
2.0,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,495188,5020,500208,37.62
3.0,MALLIPUDI MANGAPATI PALLAM RAJU,Indian National Congress,20258,851,21109,1.59
4.0,UDAY,Navarang Congress Party,15578,125,15703,1.18
5.0,KANDREGULA NARASIMHAM,Bahujan Samaj Party,11916,63,11979,0.9
6.0,DR ANUSHA YADAV,Bharatha Chaitanya Yuvajana Party,9818,36,9854,0.74
7.0,TANGELLA SRINIVASU,Jatiya Jana Sena Party,6516,43,6559,0.49
8.0,YEDIDA VARA PRASAD KUMAR,Republican Party of India (A),3924,3,3927,0.3
9.0,BUGATHA BANGARRAO,Communist Party of India (Marxist-Leninist) (Liberation),2816,7,2823,0.21
10.0,SUDHA VEERA GANESH,Independent,2645,2,2647,0.2
11.0,BHAVANI SANKAR PRASAD MERLA,Independent,1963,6,1969,0.15
12.0,YENUGUPALLI KRISHNA,Jaibhim Rao Bharat Party,1762,18,1780,0.13
13.0,BODDETI APPARAO,Independent,1687,-,1687,0.13
14.0,NEELAKANTAM DONAM,Independent,1401,11,1412,0.11
15.0,PASUPULETI S.V.S.BHUSHANAM,Independent,1222,5,1227,0.09
16.0,NOTA,None of the Above,17105,115,17220,1.29
,Total,,1312770,17033,1329803,
