S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,GOPINATH K,Indian National Congress,491131,1752,492883,42.27
2.0,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,299300,1097,300397,25.76
3.0,NARASIMHAN C,Bharatiya Janata Party,212859,1266,214125,18.36
4.0,VIDHYA RANI,Naam Tamilar Katchi,106260,823,107083,9.18
5.0,ARUMUGAM M,Bharatiya Praja Aikyata Party,6118,36,6154,0.53
6.0,DR.SHANMUGAM .A.R,Independent,5577,6,5583,0.48
7.0,ESHWARAN C,Independent,4126,2,4128,0.35
8.0,TAMILSELVAN S,Bahujan Samaj Party,3665,33,3698,0.32
9.0,SWAMINATHAN T G,Aravor Munnetra Kazhagam,1969,9,1978,0.17
10.0,MANI K,Chennai Youth Party,1964,8,1972,0.17
11.0,SRINIVASAN K,Independent,1619,2,1621,0.14
12.0,VENKATESHKUMAR M,Independent,1585,5,1590,0.14
13.0,ALBERT FRANCIS XAVIER S,Independent,1422,1,1423,0.12
14.0,SARAVANAKUMAR A,Independent,1163,6,1169,0.1
15.0,ANAND KUMAR A,Independent,1157,3,1160,0.1
16.0,SUBRAMANI M,Tamilar Makkal Katchi,1156,39,1195,0.1
17.0,ANNADURAI K,Independent,1154,6,1160,0.1
18.0,MAHARAJAN G,Independent,991,4,995,0.09
19.0,JAGADHEESAN C,Viro Ke Vir Indian Party,897,3,900,0.08
20.0,VIJAYAKUMAR K P,Anaithu India Makkal Katchi,891,46,937,0.08
21.0,DEEKSHITH M,Karunaadu Party,817,7,824,0.07
22.0,RAMESH A,Independent,816,3,819,0.07
23.0,RAJESHWARI B.H.,Independent,793,6,799,0.07
24.0,CHANDRAMOHAN K.M.,Independent,789,3,792,0.07
25.0,DEVAPPA Y,Independent,717,7,724,0.06
26.0,VEERASAMY C,Independent,656,4,660,0.06
27.0,YUVARAJ K P U,Independent,402,3,405,0.03
28.0,NOTA,None of the Above,10893,89,10982,0.94
,Total,,1160887,5269,1166156,
