S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,"SUBBARAYAN, K.",Communist Party of India,470195,2544,472739,41.38
2.0,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,345326,1485,346811,30.35
3.0,"MURUGANANDAM, A.P.",Bharatiya Janata Party,184066,1256,185322,16.22
4.0,"SEETHALAKSHMI, M.K.",Naam Tamilar Katchi,95250,476,95726,8.38
5.0,"VELUSAMY, A.",Independent,7089,36,7125,0.62
6.0,"PALANI, V.",Bahujan Samaj Party,6013,41,6054,0.53
7.0,"SATHISHKUMAR, N.",Independent,2315,21,2336,0.2
8.0,"JANARTHANAM, P.",Tamilaga Makkal Thannurimai Katchi,1861,7,1868,0.16
9.0,"KANNAN, M.",Independent,1752,13,1765,0.15
10.0,"SENGUTTUVAN, M.R.",Independent,1560,7,1567,0.14
11.0,"SUBRAMANI, N.",Independent,1341,9,1350,0.12
12.0,"MALARVIZHI, G.",Rashtriya Samaj Paksha,1311,14,1325,0.12
13.0,"KARTHIKEYAN, P.",Independent,810,14,824,0.07
14.0,NOTA,None of the Above,17554,183,17737,1.55
,Total,,1136443,6106,1142549,
