S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KHALILUR RAHAMAN,All India Trinamool Congress,543449,978,544427,39.75
2.0,MURTOJA HOSSAIN BOKUL,Indian National Congress,427105,685,427790,31.23
3.0,DHANANJAY GHOSH,Bharatiya Janata Party,339868,946,340814,24.88
4.0,REJAUL MONDAL,Independent,7500,-,7500,0.55
5.0,SAJAHAN BISWAS,All India Secular Front,6847,11,6858,0.5
6.0,MUKTIPADA KONAI,Independent,5670,1,5671,0.41
7.0,ASHISH BHUIMALI,Independent,3949,2,3951,0.29
8.0,MD SARWARUL ISLAM SARKAR,Bahujan Samaj Party,3511,4,3515,0.26
9.0,MD SAHABUDDIN,Social Democratic Party Of India,3489,7,3496,0.26
10.0,SAMIRUDDIN,Socialist Unity Centre Of India (COMMUNIST),1946,4,1950,0.14
11.0,PARIMAL GHOSH,Independent,1928,3,1931,0.14
12.0,SANUAR ALI,Bharatheeya Jawan Kisan Party,1698,2,1700,0.12
13.0,RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrwadi Party,1527,5,1532,0.11
14.0,MD ASADUL BISWAS,Independent,1340,-,1340,0.1
15.0,NOTA,None of the Above,17135,23,17158,1.25
,Total,,1366962,2671,1369633,
