S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4
2.0,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,632097,6242,638339,45.16
3.0,DEVKARAN NAYAK,Bahujan Samaj Party,16090,212,16302,1.15
4.0,RAJKUMAR,Independent,4350,25,4375,0.31
5.0,KULWANT KAUR,Indian Peoples Green Party,4338,24,4362,0.31
6.0,DAYA RAM,Independent,3285,434,3719,0.26
7.0,RAJENDER KUMAR,Bhartiya Jan Samman Party,2383,60,2443,0.17
8.0,KANA RAM,Independent,2248,18,2266,0.16
9.0,MAJOR SINGH,Jai Hind Congress Party,2075,26,2101,0.15
10.0,NOTA,None of the Above,12940,155,13095,0.93
,Total,,1399702,13792,1413494,
