S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,AMRARAM,Communist Party of India (Marxist),645559,13741,659300,50.68
2.0,SUMEDHANAND SARASWATI,Bharatiya Janata Party,574740,11664,586404,45.08
3.0,SURESH PAREEK,Independent,10014,7,10021,0.77
4.0,AMARCHAND,Bahujan Samaj Party,8293,326,8619,0.66
5.0,VISHNU KUMAR NATRAJ,Independent,5796,7,5803,0.45
6.0,RAVINDRA SINGH SHEKHAWAT,Independent,5775,250,6025,0.46
7.0,ASHOK SEHRA,Ambedkarite Party of India,5333,49,5382,0.41
8.0,DHIRENDRA VERMA,Ummeed Party of India,2885,59,2944,0.23
9.0,MAHESH KUMAR,Independent,1962,94,2056,0.16
10.0,BENI PRASAD KAUSHIK (LATA),Rashtriya Sawarn Dal,1720,11,1731,0.13
11.0,RAMESH SHARMA,Bhartiya Party,1516,33,1549,0.12
12.0,VIJENDER MAHARIA,Bharatiya Yuva Jan Ekta Party,1421,30,1451,0.11
13.0,OM PRAKASH,Independent,1182,42,1224,0.09
14.0,BIRBALSINGH,Independent,1034,47,1081,0.08
15.0,NOTA,None of the Above,7081,185,7266,0.56
,Total,,1274311,26545,1300856,
