S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,SATISH KUMAR GAUTAM,Bharatiya Janata Party,500453,1381,501834,44.28
2.0,BIJENDRA SINGH,Samajwadi Party,485588,599,486187,42.9
3.0,HITENDRA KUMAR ALIAS BUNTY UPADHYAY,Bahujan Samaj Party,123770,159,123929,10.93
4.0,GYANI RAM,Independent,3795,4,3799,0.34
5.0,SATISH KUMAR,Independent,3553,8,3561,0.31
6.0,SATISH KUMAR,Swatantra Jantaraj Party,1647,1,1648,0.15
7.0,MANOJ KUMAR ALIAS MANOJ LODHI,Saman Adhikar Party,1434,6,1440,0.13
8.0,KESHAV DEV ALIAS PANDIT KESHAV DEV GAUTAM,Independent,1308,11,1319,0.12
9.0,SURENDRA,Moulik Adhikar Party,1175,3,1178,0.1
10.0,RAJESH KUMAR,Independent,1053,3,1056,0.09
11.0,DILEEP SHARMA AD.,Independent,952,3,955,0.08
12.0,MAHESH CHANDRA SHARMA,Independent,733,3,736,0.06
13.0,RAJ KUMAR,Rashtriya Shoshit Samaj Party,407,5,412,0.04
14.0,MANOJ KUMAR SHARMA ADVOCATE,Loktantrik Janshakti Party,371,7,378,0.03
15.0,NOTA,None of the Above,4916,18,4934,0.44
,Total,,1131155,2211,1133366,
