S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,VISHNU DAYAL RAM,Bharatiya Janata Party,762290,8072,770362,55.39
2.0,MAMTA BHUIYAN,Rashtriya Janata Dal,473668,7887,481555,34.63
3.0,KAMESHWAR BAITHA,Bahujan Samaj Party,39267,733,40000,2.88
4.0,SANAN RAM,Lokhit Adhikar Party,17849,26,17875,1.29
5.0,GANESH RAVI,Independent,17669,30,17699,1.27
6.0,BRAJESH KUMAR TURI,Rashtriya Samanta Dal,17542,24,17566,1.26
7.0,VRINDA RAM,Peoples Party of India (Democratic),11205,65,11270,0.81
8.0,MAHENDRA BAITHA,Socialist Unity Centre Of India (COMMUNIST),5097,18,5115,0.37
9.0,RAM VACHAN RAM,Bahujan Mukti Party,4924,29,4953,0.36
10.0,NOTA,None of the Above,24226,117,24343,1.75
,Total,,1373737,17001,1390738,
