S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,538877,3336,542213,51.35
2.0,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,227445,1674,229119,21.7
3.0,RAJESSH. T,Naam Tamilar Katchi,106752,706,107458,10.18
4.0,SENTHILNATHAN. P,Amma Makkal Munnettra Kazagam,99561,1186,100747,9.54
5.0,SELVARAJ. S,Independent,14781,15,14796,1.4
6.0,DAMODARAN. S,Independent,5138,28,5166,0.49
7.0,ALLIMUTHU. M,Bahujan Samaj Party,4353,78,4431,0.42
8.0,RAJENDRAN. S,Independent,3489,10,3499,0.33
9.0,JEEVANANTHAM. M,Independent,2879,73,2952,0.28
10.0,SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,2587,59,2646,0.25
11.0,KARUPPIAH. S,Independent,2156,15,2171,0.21
12.0,BACKIYARAJ VELLAISAMY,Naadaalum Makkal Katchi,2120,163,2283,0.22
13.0,SATHIS KUMAR. S,Independent,2048,4,2052,0.19
14.0,KAVITHA. S,Independent,1719,17,1736,0.16
15.0,NAGARAJAN. M,Independent,1656,8,1664,0.16
16.0,GOVINDARASU. P,Independent,1562,4,1566,0.15
17.0,ANBIN AMUDHAN. R,Independent,1492,6,1498,0.14
18.0,DURAIRAJ. A,Independent,1455,8,1463,0.14
19.0,SASIKUMAR. P,Independent,1346,6,1352,0.13
20.0,PANNEERSELVAM. P,Independent,1255,8,1263,0.12
21.0,DURAI. S,Independent,1198,4,1202,0.11
22.0,ANAND SELVARAJ,Independent,1172,6,1178,0.11
23.0,SANKAR. R,Independent,1162,4,1166,0.11
24.0,AMBIVENKATESAN,Independent,972,6,978,0.09
25.0,DURAI. T,Independent,877,3,880,0.08
26.0,SATHYAMURTHY. T,Independent,826,8,834,0.08
27.0,VIJAYAKUMAR. P,Independent,797,5,802,0.08
28.0,PERIYASAMY. V,Independent,771,3,774,0.07
29.0,AKILA. M,Independent,742,5,747,0.07
30.0,ROJA RAMANI. S,Anna MGR Dravida Makkal Kalgam,738,39,777,0.07
31.0,RAJENDRAN. P,Independent,674,1,675,0.06
32.0,MANIKANDARAJ. S,Independent,601,7,608,0.06
33.0,MURUGESAN. P,Independent,494,3,497,0.05
34.0,JOSEPH. L,Samaniya Makkal Nala Katchi,482,9,491,0.05
35.0,MUTHURAJA. T,Independent,428,3,431,0.04
36.0,NOTA,None of the Above,13560,289,13849,1.31
,Total,,1048165,7799,1055964,
