S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,569110,2383,571493,50.08
2.0,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,289909,2759,292668,25.65
3.0,NARAYANASAMY V T,All India Anna Dravida Munnetra Kazhagam,154871,716,155587,13.63
4.0,MADHAN,Naam Tamilar Katchi,75495,1339,76834,6.73
5.0,PRAKASH P,Independent,6293,5,6298,0.55
6.0,PANDIKUMAR S,Independent,3907,60,3967,0.35
7.0,AJEETHKUMAR S,Independent,2977,29,3006,0.26
8.0,PARAMASIVAN S,Independent,2852,14,2866,0.25
9.0,PARTHIBAN G,Independent,2275,2,2277,0.2
10.0,JEEVA M,Bahujan Samaj Party,2123,99,2222,0.19
11.0,CHARCHIL DURAI P,Humanity for Peace Party,1905,30,1935,0.17
12.0,PREMA S,Independent,1225,7,1232,0.11
13.0,MANIKANDAN R,Independent,1195,6,1201,0.11
14.0,REVATHI K,Independent,1115,13,1128,0.1
15.0,MUDIYARASU,All India Youth Development Party,1078,16,1094,0.1
16.0,THIAGARAJAN O V,Independent,924,8,932,0.08
17.0,VASANTHA SARAVANAN,Independent,803,2,805,0.07
18.0,VIJAYAN K,Independent,665,2,667,0.06
19.0,SETHUPATHI G,Independent,613,4,617,0.05
20.0,JOHNGILBERTRAJ,Independent,598,5,603,0.05
21.0,AATHIMUTHUKUMAR M,Independent,587,5,592,0.05
22.0,MUTHUKUMAR,Independent,539,4,543,0.05
23.0,HARIKRISHNAKUMAR R,Independent,481,5,486,0.04
24.0,SATHEESH KUMAR A,Independent,447,6,453,0.04
25.0,KUMAR,Independent,376,1,377,0.03
26.0,NOTA,None of the Above,11206,130,11336,0.99
,Total,,1133569,7650,1141219,
